StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q1_11_TEXT,Q1.1,Q1.1_5_TEXT,Q70,Q70_10_TEXT,Q69,Q2,Q2_6_TEXT,Q3,Q4,Q5,Q5_7_TEXT,Q5.1,Q6,Q7,Q8,Q9,Q10,Q10_11_TEXT,Q11,Q12,Q13,Q13_10_TEXT,Q14,Q15,Q16,Q17,Q17_11_TEXT,Q18,Q19,Q20,Q20_10_TEXT,Q21,Q21.1,Q21.1_9_TEXT,Q21.2,Q22,Q22.1,Q22.1_8_TEXT,Q22.2,Q22.2_8_TEXT,Q23
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your school affiliation? - Selected Choice,What is your school affiliation? - Other - Text,Which department are you affiliated to? - Selected Choice,Which department are you affiliated to? - Other - Text,Which department are you affiliated to? - Selected Choice,Which department are you affiliated to? - Other - Text,Which department are you affiliated to?,What is your position? - Selected Choice,What is your position? - Other - Text,"In your opinion, how important is Open Access for your work?",What is your experience with Open Access?,"The following are possible concerns that
researchers could have about Open Access publishing. 
Which of these concerns would you agree with? Select all suitable options. - Selected Choice","The following are possible concerns that
researchers could have about Open Access publishing. 
Which of these concerns would you agree with? Select all suitable options. - Other - Text",Is there anything you want to share with us regarding your experiences with Open Access?,"In your opinion, how important are open data, materials, and/or code for your work?","What is your experience with using open data, materials, and/or code developed by others?","What is your experience with openly sharing data, materials, and/or code that you developed?",Are you familiar with the FAIR principles for data and code?,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. 

Which of these concerns would you agree with? Select all suitable options. - Selected Choice","The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. 

Which of these concerns would you agree with? Select all suitable options. - Other - Text","In your opinion, how important is preregistration for your work?",What is your experience with study preregistration?,"The following are possible concerns that
researchers could have about preregistering their studies. Which of these concerns would you agree with? Select all suitable options. - Selected Choice","The following are possible concerns that
researchers could have about preregistering their studies. Which of these concerns would you agree with? Select all suitable options. - Other - Text","In your opinion, how important are open educational resources for your work?",What is your experience with using open educational resources developed by others?,What is your experience with openly sharing educational resources that you developed?,"The following are possible concerns that researchers could have about making educational resources developed by them openly available. 
 Which of these concerns would you agree with? Select all suitable options. - Selected Choice","The following are possible concerns that researchers could have about making educational resources developed by them openly available. 
 Which of these concerns would you agree with? Select all suitable options. - Other - Text","In your opinion, how important is to have an open dialogue with society in your work?",What is your experience engaging with society?,"The following are possible concerns that
researchers could have about engaging with society.Which of these concerns would apply to you? Select all suitable options - Selected Choice","The following are possible concerns that
researchers could have about engaging with society.Which of these concerns would apply to you? Select all suitable options - Other - Text",Do you expect EUR to support you in learning open science practices?,Which of the following open science practices would you like EUR to provide information or support for?Select all suitable options. - Selected Choice,Which of the following open science practices would you like EUR to provide information or support for?Select all suitable options. - Other - Text,"What support services provided at EUR have you used to make your data FAIR?
Select all suitable options.",Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,"In what way were you recognized and rewarded? 
Select all suitable options. - Selected Choice","In what way were you recognized and rewarded? 
Select all suitable options. - Other - Text","In what way do you expect to be recognized and rewarded?
Select all suitable options. - Selected Choice","In what way do you expect to be recognized and rewarded?
Select all suitable options. - Other - Text",Is there anything else you would like to mention about Open Science practices?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_11_TEXT""}","{""ImportId"":""QID120""}","{""ImportId"":""QID120_5_TEXT""}","{""ImportId"":""QID125""}","{""ImportId"":""QID125_10_TEXT""}","{""ImportId"":""QID124""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_7_TEXT""}","{""ImportId"":""QID126_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID90""}","{""ImportId"":""QID123""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_11_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_10_TEXT""}","{""ImportId"":""QID95""}","{""ImportId"":""QID107""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID110_11_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_10_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID75""}","{""ImportId"":""QID75_9_TEXT""}","{""ImportId"":""QID122""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID113_8_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID114_8_TEXT""}","{""ImportId"":""QID121_TEXT""}"
2022-02-21 15:29:39,2022-02-21 15:38:58,IP Address,100,559,True,2022-02-21 15:38:59,R_3HqrcjRpML1XN8v,anonymous,EN-GB,Erasmus School of Law (ESL),,,,,,,Associate Professor,,Very important,I have some experience with Open Access publishing,"Green OA (self-archiving): Other people might copy my research and publish it before I do,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals",,"I think it's ridiculous that we as researchers do the research, write and act as peer reviewer and major corporate publishers earn money. ",Moderately important,"I have some experience with open data, materials, and/or code developed by others, but do not use them regularly","I have some experience with open data, materials, and/or code, but do not share mine regularly","I have some experience with the FAIR principles, but do not follow them regularly","Others might find it difficult to understand my data, materials, and/or code,Reuse of my data, materials, and/or code could violate the epistemological framework of my research,Sharing data, materials, and/or code could result in others asking me to provide assistance for their research,I might lose control over how my data, materials, and/or code are being used,I might not receive appropriate credit for data, materials, and/or code if I make them openly available,There could be issues related to intellectual property,It might take too much time, effort, and resources,Other","I can't share all my materials because some of them are classified. ",Moderately important,"I have some experience with study preregistration, but do not use it regularly","Preregistration might delay data collection,I need to look at my data before I can decide how to best analyse it,Preregistration prevents exploratory research,Preregistration might lead to other people taking my research idea and implementing my plan,It might take too much time, effort, and resources",,Slightly important,"I have some experience with open educational resources developed by others, but do not use them regularly","I am aware of open educational resources, but have not shared my own","Others might find it difficult to understand my educational resources,Sharing educational resources could result in others asking me to provide assistance for their courses/workshops,I might lose control over how my educational resources are being used,I might not receive appropriate credit for my educational resources if I make them openly available,There could be issues related to intellectual property,It might take too much time, effort, and resources",,Very important,I regularly engage with society,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",,Yes,"Open access publishing,Open data, materials, and/or code,Preregistration,Open educational resources",,"I attended a workshop on research data management,I looked up relevant information on the EUR website,I got advice on FAIR data/research data management from an expert (e.g., research data steward),I am using available tools for FAIR data (e.g., EUR Data Repository)",No,,,"Freedom to choose and initiate my own projects,More time for Open Science activities,Trust from my colleagues/supervisor/manager,Praise by my colleagues/supervisor/manager,Receive a promotion",,The work load is huge. You can't expect people to do all the extra work without giving them time to do it. Make procedures easy and convenient.
2022-02-21 15:38:00,2022-02-21 15:42:10,IP Address,100,249,True,2022-02-21 15:42:12,R_2TESsa1ytdvQMuq,anonymous,EN-GB,Erasmus School of Law (ESL),,,,,,,Associate Professor,,Extremely important,I have extensive experience with Open Access publishing,"Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature",,,Extremely important,I don’t know/prefer not to answer,I don’t know/prefer not to answer,"Until now, I hadn't heard of the FAIR principles",I do not share any of these concerns,,I don’t know/prefer not to answer,I don’t know/prefer not to answer,Preregistration might lead to other people taking my research idea and implementing my plan,,Extremely important,I don’t know/prefer not to answer,I regularly share open educational resources,I do not share any of these concerns,,Moderately important,"I am aware of engaging with society, but have not done it",I do not share any of these concerns,,Yes,"Open access publishing,Open educational resources",,,I don't know/prefer not to answer,,,,,
2022-02-21 15:34:59,2022-02-21 15:48:07,IP Address,100,787,True,2022-02-21 15:48:07,R_tJStVQpCfQACZ4R,anonymous,EN-GB,Erasmus School of Law (ESL),,,,,,,Full Professor,,Extremely important,I have extensive experience with Open Access publishing,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,,"I am doing anything in my power to make my work open access, including following up on embargo periods of all journals and book publishers (contracts I sign) to make the work publicly available the second I legally can. ",Extremely important,"I have some experience with open data, materials, and/or code developed by others, but do not use them regularly","I regularly share open data, materials, and/or code","I have some experience with the FAIR principles, but do not follow them regularly","It might take too much time, effort, and resources",,Extremely important,I regularly preregister my studies,I do not share any of these concerns,,Moderately important,"I have some experience with open educational resources developed by others, but do not use them regularly","Until now, I hadn't heard of open educational resources",I might not receive appropriate credit for my educational resources if I make them openly available,,Moderately important,"I am aware of engaging with society, but have not done it","It might require too much time, effort, and resources",,Yes,"Open access publishing,Open educational resources,Open engagement of societal actors",,"I got advice on FAIR data/research data management from an expert (e.g., research data steward)",No,,,"More time for Open Science activities,Praise by my colleagues/supervisor/manager",,"The big problem with open access publications is the funding. I do my best to make what I can open, but sometimes a great journal would accept your work but the open access option is very costly. The previous funding support by EUR was really great in this sense. I think it increases impact and citations. "
2022-02-21 15:49:00,2022-02-21 16:00:30,IP Address,100,689,True,2022-02-21 16:00:31,R_6G4sOZNqJOBAbp7,anonymous,EN-GB,Erasmus School of Law (ESL),,,,,,,Full Professor,,Very important,I have extensive experience with Open Access publishing,"Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals",,,Moderately important,"I am aware of open data, materials, and/or code developed by others, but have not used them",I don’t know/prefer not to answer,I don’t know/prefer not to answer,"Sharing data, materials, and/or code could result in others asking me to provide assistance for their research,I might lose control over how my data, materials, and/or code are being used,I might not receive appropriate credit for data, materials, and/or code if I make them openly available,There could be issues related to intellectual property",,Moderately important,"I have some experience with study preregistration, but do not use it regularly",I do not share any of these concerns,,Extremely important,"I have some experience with open educational resources developed by others, but do not use them regularly",I regularly share open educational resources,I do not share any of these concerns,,Very important,I regularly engage with society,I do not share any of these concerns,,I don’t know/prefer not to answer,,,,No,,,"Receive a salary raise,Receive an award",,
2022-02-21 15:44:21,2022-02-21 16:03:34,IP Address,100,1153,True,2022-02-21 16:03:36,R_1DNDHnzN2igFrc0,anonymous,EN-GB,Erasmus School of Law (ESL),,,,,,,Full Professor,,Not at all important,I have some experience with Open Access publishing,"Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,Gold OA: Open Access journals might not provide rigorous peer-review,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,Gold OA: The impact of an Open Access publication might be low (e.g., few downloads and citations, low public engagement)",,"Labour law implications of obliging staff to publish open access are currently not taken into account. This is highly problematic, especially as EUR staff must also provide open access for publications that do not (clearly or in the view of publishers) meet the requirements of article 25fa Auteurswet (as otherwise the UB will not include the publication in Pure). This is not correct and not goed werkgeverschap of the EUR. This element of open access is not given any attention at the moment. The one size fits all approach (such as: 6 months for all publications) of the EUR to open access is not in line with the legislative history of article 25 fa Auteurswet and does not take into account the differences between disciplines and their publishing cultures.",Not at all important,"I am aware of open data, materials, and/or code developed by others, but have not used them","I am aware of open data, materials, and/or code, but have not shared my own","Until now, I hadn't heard of the FAIR principles",Other,I do not research in which this is relevant.,Not at all important,"I am aware of study preregistration, but have not used it",Other,I do not do research in which this is relevant.,Moderately important,"I am aware of open educational resources developed by others, but have not used them","I am aware of open educational resources, but have not shared my own","I might lose control over how my educational resources are being used,Other","Commercial parties sell on my work without taking any attention of my copyright (and the university does not do anything about it, even though I have complained about companies such as studeersnel who sell my examquestions and my slides to students)",Extremely important,I regularly engage with society,I do not share any of these concerns,,No,,,,Yes,"Freedom to choose and initiate my own projects,Trust from my colleagues/supervisor/manager,Praised by my colleagues/supervisor/manager",,,,"Be aware of differences between disciplines, no one size fits all, inclusion in Pure should not be linked to open access, open access is a right of the employee and should not be turned into an obligation set by university on the employee (especially given that the EUR interprets article 25 Auteurswet so extensively, that employees are forced to break rules that publisher set. And please do note: article 25fa Aueteurswet does not apply if an emplyee has a contract with a foreign published under foreign law (we were told otherwise by the UB during an information session on open access, but that was legally incorrect information). And last bur not least: the EUR must be transparent on its open access obligations: why is the open access policy only accessible to employees and not to the outside world (including prospective employees who want to know what their obligations would be if they would become employees of the EUR? That does not fit with open access."
2022-02-21 16:07:26,2022-02-21 16:15:18,IP Address,100,471,True,2022-02-21 16:15:18,R_31LUzqy0eqmc2mU,anonymous,EN-GB,Erasmus School of Law (ESL),,,,,,,Full Professor,,Very important,I have some experience with Open Access publishing,"Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",,,Not at all important,"I am aware of open data, materials, and/or code developed by others, but have not used them","I am aware of open data, materials, and/or code, but have not shared my own","Until now, I hadn't heard of the FAIR principles",I don’t know/prefer not to answer,,Not at all important,"I am aware of study preregistration, but have not used it",I don’t know/prefer not to answer,,Slightly important,"I have some experience with open educational resources developed by others, but do not use them regularly","I am aware of open educational resources, but have not shared my own","I might lose control over how my educational resources are being used,I might not receive appropriate credit for my educational resources if I make them openly available",,Very important,"I have some experience with engaging with society, but do not do it regularly","It might require too much time, effort, and resources,Other","One form of dialogue is not so much input in the research design or proces, but presenting work to the broader public, giving guest lectures and so on, and thus getting feedback and input. A pity that this form seems not to be included in the framework of the survey",Yes,"Open access publishing,Open educational resources",,,I don't know/prefer not to answer,,,,,
2022-02-21 16:18:08,2022-02-21 16:22:44,IP Address,100,275,True,2022-02-21 16:22:45,R_32OWtclNquXyn4Z,anonymous,EN-GB,Erasmus School of Law (ESL),,,,,,,Full Professor,,Moderately important,I am aware of Open Access publishing but have not done it,"Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,Green OA (self-archiving): Other people might copy my research and publish it before I do,Gold OA: Open Access journals might not provide rigorous peer-review,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals",,,Very important,"I have some experience with open data, materials, and/or code developed by others, but do not use them regularly","I am aware of open data, materials, and/or code, but have not shared my own","Until now, I hadn't heard of the FAIR principles","Reuse of my data, materials, and/or code could violate the epistemological framework of my research,Sharing data, materials, and/or code could result in others asking me to provide assistance for their research,I might lose control over how my data, materials, and/or code are being used,I might not receive appropriate credit for data, materials, and/or code if I make them openly available",,Not at all important,"Until now, I was unaware of study preregistration",I don’t know/prefer not to answer,,Very important,I regularly use open educational resources developed by others,"I am aware of open educational resources, but have not shared my own","Sharing educational resources could result in others asking me to provide assistance for their courses/workshops,I might lose control over how my educational resources are being used,I might not receive appropriate credit for my educational resources if I make them openly available",,Slightly important,"I am aware of engaging with society, but have not done it","Designing the research might become too complex,Some societal actors might have ideas that are too difficult to implement,It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",,I don’t know/prefer not to answer,,,,I do not undertake any Open Science activities,,,,,
2022-02-21 16:41:01,2022-02-21 16:47:28,IP Address,100,386,True,2022-02-21 16:47:30,R_UPzEJ1j0mqxibLz,anonymous,EN-GB,Erasmus School of Law (ESL),,,,,,,Full Professor,,Moderately important,I am aware of Open Access publishing but have not done it,"Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,Gold OA: Open Access journals might have lower quality articles,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals",,,Very important,"I have some experience with open data, materials, and/or code developed by others, but do not use them regularly","I have some experience with open data, materials, and/or code, but do not share mine regularly","Until now, I hadn't heard of the FAIR principles","I might not receive appropriate credit for data, materials, and/or code if I make them openly available,There could be issues related to intellectual property,It might take too much time, effort, and resources",,Not at all important,"Until now, I was unaware of study preregistration",I do not share any of these concerns,,I don’t know/prefer not to answer,"Until now, I hadn't heard of open educational resources","Until now, I hadn't heard of open educational resources",I don’t know/prefer not to answer,,I don’t know/prefer not to answer,"Until now, I was unaware of open engagement with societal actors",I don’t know/prefer not to answer,,Yes,Open access publishing,,,I do not undertake any Open Science activities,,,,,
