question,item,number_responses,perc,lab_perc
"In your opinion, how important is Open Access for your work?",Extremely important,51,32.08,32.08%
"In your opinion, how important is Open Access for your work?",I don’t know/prefer not to answer,1,0.63,0.63%
"In your opinion, how important is Open Access for your work?",Moderately important,28,17.61,17.61%
"In your opinion, how important is Open Access for your work?",Not at all important,6,3.77,3.77%
"In your opinion, how important is Open Access for your work?",Slightly important,7,4.4,4.4%
"In your opinion, how important is Open Access for your work?",Very important,66,41.51,41.51%
What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,31,19.5,19.5%
What is your experience with Open Access?,I don’t know/prefer not to answer,1,0.63,0.63%
What is your experience with Open Access?,I have extensive experience with Open Access publishing,55,34.59,34.59%
What is your experience with Open Access?,I have some experience with Open Access publishing,68,42.77,42.77%
What is your experience with Open Access?,"Until now, I was unaware of Open Access publishing",4,2.52,2.52%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"For me the most important issue is where to find publications. And if this place/website is clear that publications can be ""googeld"" easily.",1,0.63,0.63%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,15,9.43,9.43%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might have lower quality articles,8,5.03,5.03%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might not provide rigorous peer-review,3,1.89,1.89%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",6,3.77,3.77%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,9,5.66,5.66%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,18,11.32,11.32%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,14,8.81,8.81%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,72,45.28,45.28%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,8,5.03,5.03%
The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I don’t know/prefer not to answer,5,3.14,3.14%
Is there anything you want to share with us regarding your experiences with Open Access?,"for my own research it is very important to have access to other articles. I therefore really appreciate open access. If I cant find an article in open access (gold), I might not use it.",1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,gold access is too expensive,1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,How to prevent that open access published articles will be hard to find because of all the seperate institution-based archives?,1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,"I am doing anything in my power to make my work open access, including following up on embargo periods of all journals and book publishers (contracts I sign) to make the work publicly available the second I legally can.",1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,"I have read the university strives to publish all articles by EUR researchers as open access, but I am not aware of the details. I fully support this goal, as I do not understand how we can do research funded by tax payers and then have the findings behind pay walls.",1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,I like it that the universities support it financially,1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,"I think it's ridiculous that we as researchers do the research, write and act as peer reviewer and major corporate publishers earn money.",1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,it sometimes really is a hassle to arrange evrything and that is annoying,1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,"Labour law implications of obliging staff to publish open access are currently not taken into account. This is highly problematic, especially as EUR staff must also provide open access for publications that do not (clearly or in the view of publishers) meet the requirements of article 25fa Auteurswet (as otherwise the UB will not include the publication in Pure). This is not correct and not goed werkgeverschap of the EUR. This element of open access is not given any attention at the moment. The one size fits all approach (such as: 6 months for all publications) of the EUR to open access is not in line with the legislative history of article 25 fa Auteurswet and does not take into account the differences between disciplines and their publishing cultures.",1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,no,1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,Only positive,1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,"There is not much attention for publishing books or in edited volumes. In my field, this is an important form of publishing, but it is hard to do this open access.",1,0.63,0.63%
Is there anything you want to share with us regarding your experiences with Open Access?,NA,147,92.45,92.45%
