StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q1_11_TEXT,Q1.1,Q1.1_5_TEXT,Q70,Q70_10_TEXT,Q69,Q2,Q2_6_TEXT,Q3,Q4,Q5,Q5_7_TEXT,Q5.1,Q6,Q7,Q8,Q9,Q10,Q10_11_TEXT,Q11,Q12,Q13,Q13_10_TEXT,Q14,Q15,Q16,Q17,Q17_11_TEXT,Q18,Q19,Q20,Q20_10_TEXT,Q21,Q21.1,Q21.1_9_TEXT,Q21.2,Q22,Q22.1,Q22.1_8_TEXT,Q22.2,Q22.2_8_TEXT,Q23
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your school affiliation? - Selected Choice,What is your school affiliation? - Other - Text,Which department are you affiliated to? - Selected Choice,Which department are you affiliated to? - Other - Text,Which department are you affiliated to? - Selected Choice,Which department are you affiliated to? - Other - Text,Which department are you affiliated to?,What is your position? - Selected Choice,What is your position? - Other - Text,"In your opinion, how important is Open Access for your work?",What is your experience with Open Access?,"The following are possible concerns that
researchers could have about Open Access publishing. 
Which of these concerns would you agree with? Select all suitable options. - Selected Choice","The following are possible concerns that
researchers could have about Open Access publishing. 
Which of these concerns would you agree with? Select all suitable options. - Other - Text",Is there anything you want to share with us regarding your experiences with Open Access?,"In your opinion, how important are open data, materials, and/or code for your work?","What is your experience with using open data, materials, and/or code developed by others?","What is your experience with openly sharing data, materials, and/or code that you developed?",Are you familiar with the FAIR principles for data and code?,"The following are possible concerns that researchers could have about making data; materials; and/or code developed by them openly available. 

Which of these concerns would you agree with? Select all suitable options. - Selected Choice","The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. 

Which of these concerns would you agree with? Select all suitable options. - Other - Text","In your opinion, how important is preregistration for your work?",What is your experience with study preregistration?,"The following are possible concerns that
researchers could have about preregistering their studies. Which of these concerns would you agree with? Select all suitable options. - Selected Choice","The following are possible concerns that
researchers could have about preregistering their studies. Which of these concerns would you agree with? Select all suitable options. - Other - Text","In your opinion, how important are open educational resources for your work?",What is your experience with using open educational resources developed by others?,What is your experience with openly sharing educational resources that you developed?,"The following are possible concerns that researchers could have about making educational resources developed by them openly available. 
 Which of these concerns would you agree with? Select all suitable options. - Selected Choice","The following are possible concerns that researchers could have about making educational resources developed by them openly available. 
 Which of these concerns would you agree with? Select all suitable options. - Other - Text","In your opinion, how important is to have an open dialogue with society in your work?",What is your experience engaging with society?,"The following are possible concerns that
researchers could have about engaging with society.Which of these concerns would apply to you? Select all suitable options - Selected Choice","The following are possible concerns that
researchers could have about engaging with society.Which of these concerns would apply to you? Select all suitable options - Other - Text",Do you expect EUR to support you in learning open science practices?,Which of the following open science practices would you like EUR to provide information or support for?Select all suitable options. - Selected Choice,Which of the following open science practices would you like EUR to provide information or support for?Select all suitable options. - Other - Text,What support services provided at EUR have you used to make your data FAIR? Select all suitable options.,"Do you feel recognized and rewarded by EUR (e.g., in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?","In what way were you recognized and rewarded? 
Select all suitable options. - Selected Choice","In what way were you recognized and rewarded? 
Select all suitable options. - Other - Text","In what way do you expect to be recognized and rewarded?
Select all suitable options. - Selected Choice","In what way do you expect to be recognized and rewarded?
Select all suitable options. - Other - Text",Is there anything else you would like to mention about Open Science practices?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_11_TEXT""}","{""ImportId"":""QID120""}","{""ImportId"":""QID120_5_TEXT""}","{""ImportId"":""QID125""}","{""ImportId"":""QID125_10_TEXT""}","{""ImportId"":""QID124""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_7_TEXT""}","{""ImportId"":""QID126_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID90""}","{""ImportId"":""QID123""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_11_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_10_TEXT""}","{""ImportId"":""QID95""}","{""ImportId"":""QID107""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID110_11_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_10_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID75""}","{""ImportId"":""QID75_9_TEXT""}","{""ImportId"":""QID122""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID113_8_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID114_8_TEXT""}","{""ImportId"":""QID121_TEXT""}"
2022-01-19 10:54:09,2022-01-19 11:08:25,IP Address,100,856,True,2022-01-19 11:08:27,R_21ikbEJdYe34bnx,anonymous,EN-GB,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,History,PhD candidate,NA,Extremely important,I have extensive experience with Open Access publishing,"Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive;Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature;Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work;Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",NA,NA,Moderately important,"I have some experience with open data, materials, and/or code developed by others, but do not use them regularly","I am aware of open data, materials, and/or code, but have not shared my own","I have some experience with the FAIR principles, but do not follow them regularly","Others might find it difficult to understand my data, materials, and/or code;Reuse of my data, materials, and/or code could violate the epistemological framework of my research",NA,Not at all important,"Until now, I was unaware of study preregistration","Preregistration prevents exploratory research;Preregistration stifles research creativity or flexibility;Preregistration might lead to other people taking my research idea and implementing my plan;Preregistration might make it more difficult to publish in certain journals;It might take too much time, effort, and resources",NA,Slightly important,"I am aware of open educational resources developed by others, but have not used them","I am aware of open educational resources, but have not shared my own","Others might find it difficult to understand my educational resources;I might not receive appropriate credit for my educational resources if I make them openly available;There could be issues related to intellectual property;It might take too much time, effort, and resources",NA,Moderately important,"I am aware of engaging with society, but have not done it","It might require too much time, effort, and resources;Designing the research might become too complex;Some societal actors might have ideas that are too difficult to implement;I might lose control of my research project;There could be issues related to intellectual property",NA,Yes,"Open data, materials, and/or code;Open educational resources;Open engagement of societal actors",NA,I attended a workshop on research data management;I looked up relevant information on the EUR website,I don't know/prefer not to answer,NA,NA,NA,NA,NA
2022-01-19 11:14:50,2022-01-19 11:21:46,IP Address,100,416,True,2022-01-19 11:21:48,R_2X0xfKIDzorvZVL,anonymous,EN-GB,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,Arts & Culture,Other,Lecturer,Very important,I am aware of Open Access publishing but have not done it,"Green OA (self-archiving): Other people might copy my research and publish it before I do;Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work;Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals",NA,NA,Very important,"I have some experience with open data, materials, and/or code developed by others, but do not use them regularly","I have some experience with open data, materials, and/or code, but do not share mine regularly","I have some experience with the FAIR principles, but do not follow them regularly","Others might find errors in my published work;Others might find it difficult to understand my data, materials, and/or code;Reuse of my data, materials, and/or code could violate the epistemological framework of my research;I might not receive appropriate credit for data, materials, and/or code if I make them openly available",NA,Slightly important,"Until now, I was unaware of study preregistration","I need to look at my data before I can decide how to best analyse it;Preregistration prevents exploratory research;Preregistration stifles research creativity or flexibility;Preregistration might lead to other people taking my research idea and implementing my plan;It might take too much time, effort, and resources",NA,Very important,"I am aware of open educational resources developed by others, but have not used them","I am aware of open educational resources, but have not shared my own",Others might find it difficult to understand my educational resources;I might lose control over how my educational resources are being used,NA,Extremely important,"I have some experience with engaging with society, but do not do it regularly",Some societal actors might have ideas that are too difficult to implement,NA,Yes,"Open access publishing;Open data, materials, and/or code",NA,"I attended a workshop on research data management;I looked up relevant information on the EUR website;I got advice on FAIR data/research data management from an expert (e.g., research data steward)",I don't know/prefer not to answer,NA,NA,NA,NA,Reciprocity and subjectivity in research need to be stressed in relation to societal engagement in research
2022-01-19 11:37:19,2022-01-19 11:44:32,IP Address,100,432,True,2022-01-19 11:44:32,R_1lfwaT6xzmqDfpq,anonymous,EN-GB,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,History,PhD candidate,NA,Very important,I have some experience with Open Access publishing,"Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive;Green OA (self-archiving): Other people might copy my research and publish it before I do;Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work;Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals;Gold OA: The impact of an Open Access publication might be low (e.g., few downloads and citations, low public engagement)",NA,NA,Moderately important,"I have some experience with open data, materials, and/or code developed by others, but do not use them regularly","I am aware of open data, materials, and/or code, but have not shared my own","Until now, I hadn't heard of the FAIR principles",Other,"Sharing data is not always a good idea when for example one works with vulnerable groups and informants might be at risk of stigma, prosecution, etc.",I don’t know/prefer not to answer,I don’t know/prefer not to answer,I don’t know/prefer not to answer,NA,Moderately important,I regularly use open educational resources developed by others,I don’t know/prefer not to answer,"It might take too much time, effort, and resources",NA,Extremely important,I regularly engage with society,Other,I find it difficult to address certain issues in the media afraid of a backless from certain groups of people.,Yes,"Open access publishing;Open data, materials, and/or code;Preregistration;Open educational resources;Open engagement of societal actors",NA,NA,No,NA,NA,Freedom to choose and initiate my own projects;Praise by my colleagues/supervisor/manager;Receive a promotion;Receive a salary raise,NA,NA
2022-01-19 13:25:32,2022-01-19 13:38:00,IP Address,100,747,True,2022-01-19 13:38:02,R_vNbORyfhJLmxrUZ,anonymous,EN-GB,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,Arts & Culture,Assistant Professor,NA,Moderately important,I have some experience with Open Access publishing,"Green OA (self-archiving): Other people might copy my research and publish it before I do;Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature;Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work;Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals;Other","a lot of money goes to the established publishers (which could be spent otherwise). The reputation of some open access journals may be perceived poorer, leading to less interest from peers, and less citations.",NA,I don’t know/prefer not to answer,"I am aware of open data, materials, and/or code developed by others, but have not used them",I don’t know/prefer not to answer,"Until now, I hadn't heard of the FAIR principles","Others might find it difficult to understand my data, materials, and/or code;Reuse of my data, materials, and/or code could violate the epistemological framework of my research;Other","the privacy of the respondent, especially in interview data. I haven't answered to the above question, because my opinion differs on questionnaire data and interview data.",Moderately important,"I have some experience with study preregistration, but do not use it regularly","I need to look at my data before I can decide how to best analyse it;Preregistration prevents exploratory research;It might take too much time, effort, and resources",NA,Very important,"I am aware of open educational resources developed by others, but have not used them","Until now, I hadn't heard of open educational resources","It might take too much time, effort, and resources",NA,Extremely important,"Until now, I was unaware of open engagement with societal actors","It might require too much time, effort, and resources;It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians);Other","it costs time to find the middle ground, and journals and peers may criticize the work.",Yes,"Open access publishing;Open data, materials, and/or code;Preregistration;Open educational resources;Open engagement of societal actors",NA,NA,No,NA,NA,More time for Open Science activities;Trust from my colleagues/supervisor/manager;Praise by my colleagues/supervisor/manager,NA,"it would be helpful to gradually learn more about it, in a lean and fun manner. Lectures and discussions forums, or very long instruction documents are not the best solution, in my opinion. Sth as the dilemma game is more appealing and a good learning tool to start with. If then people want to learn more, an online instruction video could work. Thanks for the interest."
2022-01-19 14:32:17,2022-01-19 14:38:23,IP Address,100,365,True,2022-01-19 14:38:23,R_1ikttxtsSObJYzE,anonymous,EN-GB,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,History,Assistant Professor,NA,Very important,I have some experience with Open Access publishing,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive;Green OA (self-archiving): Other people might copy my research and publish it before I do;Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work;Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,NA,NA,Very important,"I regularly use open data, materials, and/or code developed by others","I have some experience with open data, materials, and/or code, but do not share mine regularly","Until now, I hadn't heard of the FAIR principles","Others might find it difficult to understand my data, materials, and/or code;I might lose control over how my data, materials, and/or code are being used;I might not receive appropriate credit for data, materials, and/or code if I make them openly available;There could be issues related to intellectual property;It might take too much time, effort, and resources",NA,Slightly important,"Until now, I was unaware of study preregistration","I need to look at my data before I can decide how to best analyse it;Preregistration prevents exploratory research;Preregistration stifles research creativity or flexibility;Preregistration might lead to other people taking my research idea and implementing my plan;It might take too much time, effort, and resources",NA,Slightly important,"I have some experience with open educational resources developed by others, but do not use them regularly","I have some experience with open educational resources, but do not share mine regularly","I might not receive appropriate credit for my educational resources if I make them openly available;There could be issues related to intellectual property;It might take too much time, effort, and resources",NA,Not at all important,"I am aware of engaging with society, but have not done it",Other,Most of the societies I engage with is past us.,Yes,"Open access publishing;Open data, materials, and/or code;Preregistration;Open educational resources;Open engagement of societal actors",NA,NA,Yes,"Freedom to choose and initiate my own projects,Praised by my colleagues/supervisor/manager",NA,NA,NA,NA
2022-01-20 10:02:42,2022-01-20 10:08:04,IP Address,100,322,True,2022-01-20 10:08:06,R_2v7BoeXSzseNsoh,anonymous,EN-GB,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,History,Assistant Professor,NA,Extremely important,I have some experience with Open Access publishing,"Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work;Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",NA,NA,Slightly important,"I am aware of open data, materials, and/or code developed by others, but have not used them","I regularly share open data, materials, and/or code","Until now, I hadn't heard of the FAIR principles","I might not receive appropriate credit for data, materials, and/or code if I make them openly available;There could be issues related to intellectual property",NA,Not at all important,"I am aware of study preregistration, but have not used it",I don’t know/prefer not to answer,NA,Very important,"I have some experience with open educational resources developed by others, but do not use them regularly",I regularly share open educational resources,I might not receive appropriate credit for my educational resources if I make them openly available;There could be issues related to intellectual property,NA,Slightly important,"I have some experience with engaging with society, but do not do it regularly","It might require too much time, effort, and resources;Some societal actors might have ideas that are too difficult to implement;It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",NA,No,NA,NA,NA,I don't know/prefer not to answer,NA,NA,NA,NA,NA
2022-01-20 15:52:29,2022-01-20 15:58:36,IP Address,100,367,True,2022-01-20 15:58:36,R_Zy1ynDDYoZEahnb,anonymous,EN-GB,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,Arts & Culture,Other,Lecturer,Extremely important,I have some experience with Open Access publishing,"Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive;Green OA (self-archiving): Other people might copy my research and publish it before I do;Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature;Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work;Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work;Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals",NA,NA,Extremely important,"I am aware of open data, materials, and/or code developed by others, but have not used them","I am aware of open data, materials, and/or code, but have not shared my own","I have some experience with the FAIR principles, but do not follow them regularly","I might lose control over how my data, materials, and/or code are being used;I might not receive appropriate credit for data, materials, and/or code if I make them openly available;Other","Rules concerning GDPA are complicated, and avoiding open data altogether at least avoids making mistakes in this respect",Extremely important,"I am aware of study preregistration, but have not used it",Preregistration might make it more difficult to publish in certain journals,NA,Extremely important,"I have some experience with open educational resources developed by others, but do not use them regularly","I am aware of open educational resources, but have not shared my own",I might lose control over how my educational resources are being used;I might not receive appropriate credit for my educational resources if I make them openly available;There could be issues related to intellectual property,NA,Extremely important,I regularly engage with society,"Some societal actors might have ideas that are too difficult to implement;It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",NA,Yes,"Open access publishing;Open data, materials, and/or code;Preregistration;Open educational resources;Open engagement of societal actors",NA,I attended a workshop on research data management;I looked up relevant information on the EUR website,No,NA,NA,Receive a promotion;Receive a salary raise,NA,NA
2022-01-31 11:24:44,2022-01-31 11:32:43,IP Address,100,478,True,2022-01-31 11:32:43,R_BA0XzR7Z47xI8Jr,anonymous,EN-GB,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,History,Other,NA,Slightly important,I have some experience with Open Access publishing,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature;Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work;Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,NA,NA,Very important,"I regularly use open data, materials, and/or code developed by others","I have some experience with open data, materials, and/or code, but do not share mine regularly","Until now, I hadn't heard of the FAIR principles","Others might find it difficult to understand my data, materials, and/or code;Reuse of my data, materials, and/or code could violate the epistemological framework of my research;I might not receive appropriate credit for data, materials, and/or code if I make them openly available;There could be issues related to intellectual property",NA,Not at all important,"Until now, I was unaware of study preregistration",I don’t know/prefer not to answer,NA,Very important,I regularly use open educational resources developed by others,"I have some experience with open educational resources, but do not share mine regularly",I might not receive appropriate credit for my educational resources if I make them openly available,NA,Very important,"I have some experience with engaging with society, but do not do it regularly","It might require too much time, effort, and resources;It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",NA,Yes,"Open data, materials, and/or code;Open engagement of societal actors",NA,NA,I don't know/prefer not to answer,NA,NA,NA,NA,NA
