participant,Finished,School,Department,Position
1,TRUE,ESHCC,History,PhD candidate
2,TRUE,ESHCC,Arts & Culture,Lecturer
3,TRUE,ESHCC,History,PhD candidate
4,TRUE,ESHCC,Arts & Culture,Assistant Professor
5,TRUE,ESHCC,History,Assistant Professor
6,TRUE,ESHCC,History,Assistant Professor
7,TRUE,ESHCC,Arts & Culture,Lecturer
8,TRUE,ESHCC,History,Other
9,TRUE,ESHPM,NA,Assistant Professor
10,TRUE,ESHPM,NA,Assistant Professor
11,TRUE,ESHPM,NA,PhD candidate
12,TRUE,ESHPM,NA,Postdoc or researcher
13,TRUE,ESHPM,NA,Assistant Professor
14,TRUE,ESHPM,NA,Associate Professor
15,TRUE,ESHPM,NA,Postdoc or researcher
16,TRUE,ESHPM,NA,Assistant Professor
17,TRUE,ESHPM,NA,PhD candidate
18,TRUE,ESHPM,NA,Assistant Professor
19,TRUE,ESHPM,NA,Assistant Professor
20,TRUE,ESHPM,NA,Assistant Professor
21,TRUE,ESHPM,NA,Associate Professor
22,TRUE,Other,NA,Other
23,TRUE,ESHPM,NA,PhD candidate
24,TRUE,ESHPM,NA,Full Professor
25,TRUE,ESHPM,NA,PhD candidate
26,TRUE,ESHPM,NA,PhD candidate
27,TRUE,ESHPM,NA,PhD candidate
28,TRUE,ESHPM,NA,Assistant Professor
29,TRUE,ESHPM,NA,Assistant Professor
30,TRUE,ESHPM,NA,Full Professor
31,TRUE,ESHPM,NA,Assistant Professor
32,TRUE,ESHPM,NA,Assistant Professor
33,TRUE,ESHPM,NA,Associate Professor
34,TRUE,ESHPM,NA,Associate Professor
35,TRUE,ESPhil,NA,PhD candidate
36,TRUE,ESHPM,NA,Postdoc or researcher
37,TRUE,ESPhil,NA,Associate Professor
38,TRUE,ESPhil,NA,Full Professor
39,TRUE,ESPhil,NA,PhD candidate
40,TRUE,ESPhil,NA,Full Professor
41,TRUE,ESPhil,NA,PhD candidate
42,TRUE,ESHPM,NA,PhD candidate
43,TRUE,ESPhil,NA,PhD candidate
44,TRUE,ESHPM,NA,PhD candidate
45,TRUE,ESHPM,NA,PhD candidate
46,TRUE,ESPhil,NA,PhD candidate
47,TRUE,ESPhil,NA,Associate Professor
48,TRUE,ESPhil,NA,Full Professor
49,TRUE,ISS,NA,Full Professor
50,TRUE,ESSB,Public Administration,Full Professor
51,TRUE,ESSB,Pedagogical Sciences,PhD candidate
52,TRUE,ESSB,Pedagogical Sciences,PhD candidate
53,TRUE,ESSB,Psychology,PhD candidate
54,TRUE,ESSB,Psychology,Full Professor
55,TRUE,ESSB,Public Administration,Full Professor
56,TRUE,ESSB,Psychology,Postdoc or researcher
57,TRUE,ESSB,Public Administration,Full Professor
58,TRUE,ESSB,Other,Postdoc or researcher
59,TRUE,ESSB,Sociology,Full Professor
60,TRUE,ESSB,Pedagogical Sciences,PhD candidate
61,TRUE,ESSB,Public Administration,Other
62,TRUE,ESSB,Public Administration,Assistant Professor
63,TRUE,ESSB,Psychology,Assistant Professor
64,TRUE,ESSB,Pedagogical Sciences,Postdoc or researcher
65,TRUE,ESSB,Psychology,PhD candidate
66,TRUE,ESSB,Other,Full Professor
67,TRUE,Other,NA,PhD candidate
68,TRUE,ESSB,Sociology,Assistant Professor
69,TRUE,ESSB,Sociology,Full Professor
70,TRUE,ESSB,Psychology,Assistant Professor
