School,Position,question,response,n
ESHPM,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,2
ESHPM,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ESHPM,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,8
ESHPM,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,5
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,4
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,"Other_To be honest, sharing data & methods is just a part of the publication cycle, no need for it to be rewarded separately",1
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,Praise by my colleagues/supervisor/manager,1
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,NA,9
ESHPM,Assistant Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,3
ESHPM,Assistant Professor,In what way were you recognized and rewarded?,Other_OA publications are recognized as relevant output,1
ESHPM,Assistant Professor,In what way were you recognized and rewarded?,Trust from my colleagues/supervisor/manager,1
ESHPM,Assistant Professor,In what way were you recognized and rewarded?,NA,12
ESHPM,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ESHPM,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,3
ESHPM,Associate Professor,In what way do you expect to be recognized and rewarded?,NA,5
ESHPM,Associate Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,3
ESHPM,Associate Professor,In what way were you recognized and rewarded?,NA,2
ESHPM,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESHPM,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,2
ESHPM,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,1
ESHPM,Full Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,1
ESHPM,Full Professor,In what way do you expect to be recognized and rewarded?,Other_I don't expect the eur to award,1
ESHPM,Full Professor,In what way do you expect to be recognized and rewarded?,NA,2
ESHPM,Full Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESHPM,Full Professor,In what way were you recognized and rewarded?,NA,3
ESHPM,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,4
ESHPM,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,4
ESHPM,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,2
ESHPM,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,2
ESHPM,PhD candidate,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESHPM,PhD candidate,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,1
ESHPM,PhD candidate,In what way do you expect to be recognized and rewarded?,NA,10
ESHPM,PhD candidate,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESHPM,PhD candidate,In what way were you recognized and rewarded?,Trust from my colleagues/supervisor/manager,1
ESHPM,PhD candidate,In what way were you recognized and rewarded?,NA,10
ESHPM,Postdoc or researcher,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,1
ESHPM,Postdoc or researcher,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESHPM,Postdoc or researcher,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,2
ESHPM,Postdoc or researcher,In what way do you expect to be recognized and rewarded?,NA,4
ESHPM,Postdoc or researcher,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESHPM,Postdoc or researcher,In what way were you recognized and rewarded?,NA,2
ESHCC,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESHCC,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
